Sexo_p0082,Mismo_jefedehogar_p1011,Etnia_p103,Sisben_p104,Tiempo(meses)_viviendaactual_p105,Electricidad_p201a,Medidor_electricidad_p202a,Electricidad_cocina_p204a,Gas_Natural_p201b,Gas_pipeta_p201c,Acueducto_p201d,Red_aguapotablep_p202d,Agua_acueducto_alimentos_p204d,Alcantarillado_p201e,Alcantarillado_remunicipal_p202e,Servsanitario_redmunicipal_p204e,Basuras_pp201f,Basuras_recoleecmunicipal_p202f,recoleecmunicipal_unicomedio_p204f,Material_vivienda_p206,Cuartos_piezas_p207,Forma_tenencia_p208,#hogares_x_vivienda_p2092,Edad_promedio_xhogar,Personas_xhogar,Ing _Total_xhogar ,Prome_Montoempleo_xhogar_p308ma,Prome_Montoindepen_xhogar_p308mb,Prome_Montonegocio_xhogar_p308mc,Prome_Montoayudas_xhogar_p308md,Prome_Montocasional_xhogar_p308mf,Prome_Montopension_xhogarp308me,%personas_noing_xhogar,%personas_actprincipal_trabajar,%personas_actprincipal_buscartrabajo,%personas_actprincipal_estudiar,%personas_actprincipal_oficioshogar,%personas_actprincipal_Otrasactivi,%personas_actsecundaria_trabajar,%personas_actsecundaria_buscartrabajo,%personas_actsecundaria_estudiar,%personas_actsecundaria_oficioshogar,%personas_actsecundaria_Otrasactivi,%personas_segsocial,Prome_a�oseducacion_xhogar,Meses_en_el_trabajo*_p4032,Situaciones_trabajo_p406,Preocu_alimen_x_dinero_p413,Sinalimen_x_dinero_p414,Curso_form_trab_p416,Curso_obte_mant_trabajo_p417,trabajo_propio_p418,Maltrato intrafamiliar en la zona
1.00,1.00,2.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,28.00,5.00,800000.00,0.00,800000.00,0.00,0.00,0.00,0.00,0.80,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.60,0.00,5.00,300.00,4.00,2.00,2.00,2.00,0.00,2.00,1.00
2.00,2.00,2.00,3.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,2.00,46.00,3.00,1200000.00,600000.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.67,0.67,10.00,0.00,0.00,1.00,2.00,2.00,0.00,2.00,1.00
2.00,2.00,2.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,25.00,4.00,300000.00,0.00,300000.00,0.00,0.00,0.00,0.00,0.75,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.50,0.25,0.25,9.00,120.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00
2.00,2.00,2.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,27.00,6.00,650000.00,450000.00,200000.00,0.00,0.00,0.00,0.00,0.67,0.33,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.50,0.33,3.00,144.00,3.00,1.00,1.00,2.00,0.00,1.00,1.00
2.00,1.00,1.00,1.00,36.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,24.00,4.00,2000000.00,0.00,1000000.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.50,0.25,0.50,9.00,156.00,4.00,2.00,2.00,2.00,0.00,2.00,1.00
2.00,1.00,2.00,1.00,121.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,11.00,5.00,330000.00,0.00,0.00,0.00,0.00,330000.00,0.00,0.80,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.40,0.00,5.00,0.00,0.00,1.00,2.00,2.00,0.00,2.00,0.00
2.00,1.00,4.00,1.00,121.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,13.00,4.00,60000.00,60000.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,3.00,3.00,2.00,1.00,1.00,2.00,0.00,2.00,1.00
2.00,2.00,4.00,1.00,121.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,24.00,7.00,200000.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.86,0.29,0.00,0.14,0.00,0.29,0.00,0.00,0.00,0.57,0.14,0.00,8.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
1.00,2.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,32.00,4.00,1628000.00,628000.00,1000000.00,0.00,0.00,0.00,0.00,0.50,0.50,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.25,9.00,12.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00
2.00,2.00,4.00,1.00,48.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,21.00,5.00,1700000.00,0.00,850000.00,0.00,0.00,0.00,0.00,0.60,0.80,0.00,0.20,0.00,0.00,0.00,0.00,0.60,0.00,0.40,0.00,4.00,120.00,4.00,1.00,2.00,2.00,0.00,1.00,1.00
2.00,1.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,25.00,10.00,958000.00,628000.00,0.00,0.00,90000.00,0.00,240000.00,0.70,0.20,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.10,0.70,0.10,4.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
2.00,1.00,1.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,23.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
1.00,2.00,4.00,1.00,122.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,42.00,4.00,1800000.00,400000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.25,0.25,9.00,0.00,0.00,1.00,2.00,2.00,0.00,1.00,1.00
